# 文件名	标题	分区
ubuntu-copyright-liblz4-1.txt	liblz4-1 1.9.4-1build1.1	软件包版权与许可
ubuntu-copyright-liblzma5.txt	liblzma5 5.6.1+really5.4.5-1ubuntu0.2	软件包版权与许可
ubuntu-copyright-libmd0.txt	libmd0 1.1.0-2build1.1	软件包版权与许可
ubuntu-copyright-libmount1.txt	libmount1 2.39.3-9ubuntu6.3	软件包版权与许可
ubuntu-copyright-libncursesw6.txt	libncursesw6 6.4+20240113-1ubuntu2（版权文件由 libtinfo6 提供）	软件包版权与许可
ubuntu-copyright-libnettle8t64.txt	libnettle8t64 3.9.1-2.2build1.1	软件包版权与许可
ubuntu-copyright-libnpth0t64.txt	libnpth0t64 1.6-3.1build1	软件包版权与许可
ubuntu-copyright-libp11-kit0.txt	libp11-kit0 0.25.3-4ubuntu2.1	软件包版权与许可
ubuntu-copyright-libpam-modules.txt	libpam-modules 1.5.3-5ubuntu5.4	软件包版权与许可
ubuntu-copyright-libpam-modules-bin.txt	libpam-modules-bin 1.5.3-5ubuntu5.4	软件包版权与许可
ubuntu-copyright-libpam-runtime.txt	libpam-runtime 1.5.3-5ubuntu5.4	软件包版权与许可
ubuntu-copyright-libpam0g.txt	libpam0g 1.5.3-5ubuntu5.4	软件包版权与许可
ubuntu-copyright-libpcre2-8-0.txt	libpcre2-8-0 10.42-4ubuntu2.1	软件包版权与许可
ubuntu-copyright-libproc2-0.txt	libproc2-0 2:4.0.4-4ubuntu3.2	软件包版权与许可
ubuntu-copyright-libseccomp2.txt	libseccomp2 2.5.5-1ubuntu3.1	软件包版权与许可
ubuntu-copyright-libselinux1.txt	libselinux1 3.5-2ubuntu2.1	软件包版权与许可
ubuntu-copyright-libsemanage-common.txt	libsemanage-common 3.5-1build5	软件包版权与许可
ubuntu-copyright-libsemanage2.txt	libsemanage2 3.5-1build5	软件包版权与许可
ubuntu-copyright-libsepol2.txt	libsepol2 3.5-2build1	软件包版权与许可
ubuntu-copyright-libsmartcols1.txt	libsmartcols1 2.39.3-9ubuntu6.3	软件包版权与许可
ubuntu-copyright-libss2.txt	libss2 1.47.0-2.4~exp1ubuntu4.1	软件包版权与许可
ubuntu-copyright-libssl3t64.txt	libssl3t64 3.0.13-0ubuntu3.5	软件包版权与许可
ubuntu-copyright-libstdc++6.txt	libstdc++6 14.2.0-4ubuntu2~24.04（版权文件由 gcc-14-base 提供）	软件包版权与许可
ubuntu-copyright-libsystemd0.txt	libsystemd0 255.4-1ubuntu8.10	软件包版权与许可
ubuntu-copyright-libtasn1-6.txt	libtasn1-6 4.19.0-3ubuntu0.24.04.1	软件包版权与许可
ubuntu-copyright-libtinfo6.txt	libtinfo6 6.4+20240113-1ubuntu2	软件包版权与许可
ubuntu-copyright-libudev1.txt	libudev1 255.4-1ubuntu8.10	软件包版权与许可
ubuntu-copyright-libunistring5.txt	libunistring5 1.1-2build1.1	软件包版权与许可
ubuntu-copyright-libuuid1.txt	libuuid1 2.39.3-9ubuntu6.3	软件包版权与许可
ubuntu-copyright-libxxhash0.txt	libxxhash0 0.8.2-2build1	软件包版权与许可
ubuntu-copyright-libzstd1.txt	libzstd1 1.5.5+dfsg2-2build1.1	软件包版权与许可
ubuntu-copyright-login.txt	login 1:4.13+dfsg1-4ubuntu3.2	软件包版权与许可
ubuntu-copyright-logsave.txt	logsave 1.47.0-2.4~exp1ubuntu4.1	软件包版权与许可
ubuntu-copyright-mawk.txt	mawk 1.3.4.20240123-1build1	软件包版权与许可
ubuntu-copyright-mount.txt	mount 2.39.3-9ubuntu6.3	软件包版权与许可
ubuntu-copyright-ncurses-base.txt	ncurses-base 6.4+20240113-1ubuntu2	软件包版权与许可
ubuntu-copyright-ncurses-bin.txt	ncurses-bin 6.4+20240113-1ubuntu2	软件包版权与许可
ubuntu-copyright-passwd.txt	passwd 1:4.13+dfsg1-4ubuntu3.2	软件包版权与许可
ubuntu-copyright-perl-base.txt	perl-base 5.38.2-3.2ubuntu0.2	软件包版权与许可
ubuntu-copyright-procps.txt	procps 2:4.0.4-4ubuntu3.2	软件包版权与许可
